country,Region,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),"Automated teller machines (ATMs) (per 100,000 adults)",Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances to a specific country (%),Bank capital to assets ratio (%),Bank liquid reserves to bank assets ratio (%),Bank nonperforming loans to total gross loans (%),"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Commercial bank branches (per 100,000 adults)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU),Final consumption expenditure (current LCU),Final consumption expenditure (current US$),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Individuals using the Internet (% of population),"Labor force, total",Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Algeria,NorthernAfrica,0.007391304347826087,0.007,0.6506924201071204,0.22483347811505322,0.5568065863982601,0.0,0.19614147909967847,0.0,0.0,0.9645521207658726,0.0,0.2110357116632724,0.0,0.0,0.0,0.0,0.0,0.0,0.2889187637448977,0.0,0.13703167423849832,0.1624147599357665,0.0,0.0,0.0,0.0,0.0,0.0,0.7037149998832867,-0.14860725094416782,0.018112804195978025,0.0014737865566263745,0.0011568011390602753,0.03420989057780182,0.00783881501395926,0.18422322512994685,0.026300690458913298,0.1886059985369181,0.010802793996408686,-0.9049591906294092,0.048003059210860094,0.04860395700975261,-0.8589410457262617,0.04520915732180231,0.0,0.6080546154972326,0.0,0.015866013923233637,0.7883889575692459,0.0022958288877190807,0.5616802786963085,0.03176982454565349,0.030805076345142103,0.031274993010544094,0.0,0.017703348318857157,0.4464161447459986,0.03753986933908004,0.575
Argentina,SouthAmerica,0.02434782608695652,0.025,0.6041113503695927,0.3688189423866416,0.43010800732439164,0.0,0.002500893176134334,0.2970610867756016,0.0,0.0,0.9462834138512267,0.0,0.0941601741034281,0.027769052991125167,0.001878087024420185,0.2901383703052932,0.7599488779557642,0.7549214898018914,0.0,0.0,0.0,0.0,0.6353779501239157,0.7614396102827764,0.7379853960720132,0.28209566252359974,0.45947264876302085,0.36987837083866837,0.8477819495893612,-0.5439225765772563,0.053973833138614764,7.654287133807167e-05,0.002046217370669198,0.10875635240359294,0.019794358391066073,0.45135421612947924,0.040438930668249884,0.2813650325001365,0.022273312478118965,-1.6354399759356648,0.09564554005381676,0.0994027692849814,-1.4113850373942145,0.08935118240705665,0.0007211673063015029,0.6849358498004303,0.0,0.024893219125196774,0.09014238742483976,0.0020675785970856453,0.2966786039179966,0.03402779896747768,0.03078231926972353,0.03236315144581888,0.0,0.011736943033563284,0.4060542797494781,0.048528394741261395,0.7625
Australia,Oceania,0.003260869565217391,0.005,0.5963582036213129,0.5236617828770544,0.3380231003962921,0.04225352112676056,0.5923544122901037,0.6168993999650468,0.44823767116581364,0.0,0.4897785865241291,0.06159992759690141,0.02701639186064583,0.07543404681764354,0.007421289922399053,0.5585328354930814,0.3675092055378375,0.673218366860091,0.22516690122603988,0.0,0.6562031618352829,0.7781470227689136,0.873451053283767,0.8412596401028278,0.905073676982592,0.908118313404657,0.9090169270833334,0.9084507042253521,0.7856020964016445,-0.024383287535388157,0.1786671306768749,0.00021274751325746686,0.00013932225913621262,0.35014235078079403,0.018483197187467687,0.7469865717569343,0.03408316291751875,0.42031024323278326,0.0816724451421279,-0.04702943256155861,0.6195468939139893,0.0,0.0,0.0,0.007534547591207352,0.876142649150176,0.0,0.017449360114283403,0.2442164679203747,0.0004164163714137265,0.3849567342516034,0.018881606549812913,0.017787155965869453,0.01832024902432901,0.9090245666471526,0.012811901819649474,0.22999304105775925,0.025720462894979295,0.96875
Austria,WesternEurope,0.0,0.0,0.5485555463191477,0.6026125763749338,0.24532940792950442,0.0009603072983354673,0.004644515898535191,0.7988769596147027,0.39552741013841375,0.0,0.0,0.0,0.0,0.034434044866906315,0.013225136060327065,0.1629694706786734,0.5570883193228756,0.7389029290339926,0.2230753272945123,0.0,0.43545966821167686,0.514753372028287,0.8167596034696406,0.8038560411311054,0.8556762386549621,0.7515733165512901,0.8582356770833333,0.8042573623559539,0.7582668735579288,-0.3019555840397759,0.04863274420608682,3.6268035978339874e-05,2.543701945894637e-05,0.10892824097140173,0.005389308241133285,0.6166742178942489,0.02081670404820019,0.7268237693099443,0.023670254215275504,-1.0881337821424146,0.5172350747911957,0.0,0.0,0.0,0.021100034845141502,0.8494117884487223,0.8752942813,0.005930801352623813,0.09903569988915523,0.013474841112167735,0.12814605701886317,0.006620508170564359,0.006112292378900311,0.00635983787315136,0.8890107104978455,0.009066841341399482,0.20076548364648572,0.006082369351552618,0.96875
Bangladesh,SouthernAsia,0.0,0.0,0.5093393637352625,0.16007914626764047,0.4444809075634455,0.0,0.016434440871739908,0.04844279977068537,0.0,0.41913058548121035,0.29237600974660094,0.14646499201594915,0.1887018511712306,0.0014815775542673128,3.6876029058704896e-05,0.19745222929936307,0.808097984347967,0.31416862340374163,0.35394301113617466,0.0,0.20904637956340852,0.24704107945419868,0.0,0.0,0.0,0.0,0.0,0.0,0.7955867915324334,0.10906468937705714,0.025756046633025928,0.0011375606850686352,0.0019516373991457048,0.08638735070961864,0.01969180022748423,0.12322355144336837,0.007972826923499791,0.01522351791750193,0.012138299434198786,0.3922191786871137,0.014361719392712262,0.0,0.0,0.0,0.0,0.5278385418720672,0.0,0.0871984343197873,0.15411040111183802,0.15776433051246042,0.30668565546275084,0.11923295984277783,0.11577256507632601,0.11745807966838598,0.0,0.012859293746053305,0.18441196938065416,0.07299923694982048,0.49375
Belarus,EasternEurope,0.005652173913043478,0.0055,0.5292294493941352,0.48310909588702483,0.28999608374624036,0.00245411865130175,0.004644515898535191,0.26570291252299927,0.0,0.14652847631474464,0.8687030911071362,0.15942778438760605,0.11777464363990212,0.004427783392727992,0.0010960585733701608,0.0,0.6058750717380655,0.6216855902303857,1.0,0.16316848835966924,0.15304369561465833,0.14579123037224231,0.0,0.0,0.0,0.0,0.0,0.0,0.7265633901976933,-0.0671155691174131,0.008984903431189772,8.532720371754556e-06,9.540484100616991e-06,0.01466176281655255,0.006732606762485782,0.734271137297907,0.02422425072014425,0.8061538768798036,0.003544195944696037,-0.1485977869015909,0.07347777129705736,0.015474570058660752,-0.41874636444953695,0.06715502640119954,0.0010579778388964847,0.7963345604062265,0.8508791245,0.006368455744449122,0.14847781458587253,0.00577399096586399,-0.061724274449065336,0.007354827271083084,0.006084693550053442,0.0067033596460197185,0.0,0.002224548506511301,0.18371607515657623,0.008673620452798372,0.75625
Belgium,WesternEurope,0.0,0.0,0.6169929908205553,0.6295282041098909,0.30211924802856327,0.005655142979086641,0.030725259021078956,0.0,0.4709702755104221,0.0,0.43250002747721444,0.0,0.050481740000355095,0.0760668178159402,0.03325610473935727,0.0,0.7177248887072709,0.7771534694223421,0.21988558314680512,0.0,0.35468315051237503,0.41038211301655114,0.7233581164807931,0.7087403598971723,0.7564350543073949,0.3543108873505349,0.4161783854166667,0.38524327784891166,0.794712094408194,-0.27116830837789163,0.06293701890013009,4.591764374602866e-05,3.202714760322734e-05,0.1371492832638187,0.00979052838382794,0.8705840869242267,0.019980644061833454,0.5421362693416549,0.028947225767106736,-1.0375312041813585,0.4881051490974799,0.0,0.0,0.0,0.04630551833121295,0.8649726141442383,0.9152423735,0.006633367593712777,0.12794668211750118,0.0475889004971857,0.17788127896093517,0.008534030379679525,0.007964381258514688,0.008241850151771042,0.8918637870407877,0.00991773825076551,0.20911621433542102,0.013159347531193636,1.0
Brazil,SouthAmerica,0.20869565217391303,0.0,0.47094991182308726,0.28668615991772217,0.3357546779128416,0.018139137857447717,0.056448731689889245,0.4592778922660585,0.6071783404762697,0.6323771081807453,0.6157725466784474,0.39547417395157447,0.054694539203095416,0.08880119968395306,0.005561767751326232,0.39270810454645283,0.7505524804641461,0.8795292435604724,0.3220140634987011,0.0,0.32444182300341123,0.38473365010090554,0.6246902106567533,0.767866323907455,0.7356048207112037,0.4359660163624921,0.66259765625,0.5489756722151088,0.8842340749018097,-0.24523920363316493,0.3073852196176887,0.00048107097628325053,0.0005882477456098719,0.42781036028982616,0.07516217557646572,0.3644121888476179,0.16851272621325064,0.249299061260442,0.12809411950715438,-0.6701839892161384,0.11742557073020805,0.5763315265268897,-0.5492803858942797,0.11059284680852509,0.007878310591983361,0.6273254521138941,0.0,0.1295064886579687,0.1703641750987074,0.003171208623523488,0.21802302383909863,0.15831826623345593,0.14521892888480814,0.15159945068582253,0.7484557385275965,0.10592450941845087,0.47564370215727214,0.21488928438044247,0.85
Canada,NorthernAmerica,0.0,0.0,0.5550570746989025,0.5703698714263195,0.26960210968927223,0.021340162185232606,0.07395498392282958,1.0,0.3894011389599758,0.0,0.3030288165911455,0.0,0.013006377972164874,0.28001292504574726,0.05275700783901092,0.4430046123435098,0.6940655382974851,0.6811965941364885,0.21917072054898412,0.0,0.0,0.0,0.8353469640644362,0.7983290488431877,0.8625204582651392,0.7805223410950283,0.7970377604166666,0.7887323943661972,0.8490460134505159,-0.22050327378800808,0.24182057719555544,0.0002419618544678806,0.00016715424774560987,0.46727711426497176,0.03262661979112812,0.8908801911331503,0.07655518174022033,0.6378465312100696,0.10433442126780128,-0.892048786723242,0.5349319915584481,0.4732451003762165,-0.8757170007417622,0.5078994908996607,0.03436689208471686,0.9071741257246402,0.0,0.02653538100263084,0.1675098273539654,0.0005285897086465824,0.33323761790913964,0.028029077674057427,0.026228829546113663,0.027105707675278437,0.9166496723005368,0.02693526123214307,0.32985386221294366,0.03599003247409214,1.0
Chile,SouthAmerica,0.021739130434782608,0.022,0.4977140363051071,0.37219957180209035,0.3172855031187705,0.0,0.10468024294390854,0.23529801622924262,0.4701178323577753,0.0,0.42016128268766156,0.2624897988345828,0.03787400325621229,0.03288759748159926,0.0003476268302862905,0.27037118383483416,0.4924956808214549,0.573572029395062,0.25334607210972965,0.5265339267708962,0.5753494740709293,0.48555136085447315,0.6113692688971499,0.7605398457583548,0.7308436244606458,0.2550346129641284,0.37483723958333337,0.3148207426376441,0.7962552371366368,-0.3166729888012189,0.03319711319363312,0.016788958229212277,0.014261224489795919,0.0674475793249726,0.007757681728880157,0.4182194940894935,0.014116685357433429,0.2322199007652927,0.015166295865472574,-0.9529248612358202,0.15459356065751528,0.06660845502502928,-1.0972345836598942,0.1421225439626516,0.0,0.7411956738646823,0.0,0.011492498732655818,0.2194596853911772,0.0032059461777858493,0.26379377531409026,0.014189216070740671,0.01310648052691615,0.013633867337274055,0.7087079551780264,0.011666165692354433,0.4004871259568546,0.019470897700943266,0.8
